Rochester Draft - ZEN LOR MBS
PACK: 1
 1 Emeria Angel | 2WW | Creature - Angel 3/3 | Rare
 2 Vampire Hexmage | BB | Creature - Vampire Shaman 2/1 | Uncommon
 3 Arrow Volley Trap | 3WW | Instant - Trap | Uncommon
 4 Inferno Trap | 3R | Instant - Trap | Uncommon
 5 Piranha Marsh |  | Land | Common
 6 Tempest Owl | 1U | Creature - Bird 1/2 | Common
 7 Vines of Vastwood | G | Instant | Common
 8 Harrow | 2G | Instant | Common
 9 Guul Draz Vampire | B | Creature - Vampire Rogue 1/1 | Common
10 Plated Geopede | 1R | Creature - Insect 1/1 | Common
11 Demolish | 3R | Sorcery | Common
12 Molten Ravager | 2R | Creature - Elemental 0/4 | Common
13 Oran-Rief Recluse | 2G | Creature - Spider 1/3 | Common
14 Giant Scorpion | 2B | Creature - Scorpion 1/3 | Common
15 Nissa's Chosen | GG | Creature - Elf Warrior 2/3 | Common
PACK: 2
 1 Primal Command | 3GG | Sorcery | Rare
 2 Shriekmaw | 4B | Creature - Elemental 3/2 | Uncommon
 3 Final Revels | 4B | Sorcery | Uncommon
 4 Imperious Perfect | 2G | Creature - Elf Warrior 2/2 | Uncommon
 5 Inkfathom Divers | 3UU | Creature - Merfolk Soldier 3/3 | Common
 6 Shimmering Grotto |  | Land | Common
 7 Glimmerdust Nap | 2U | Enchantment - Aura | Common
 8 Smokebraider | 1R | Creature - Elemental Shaman 1/1 | Common
 9 Leaf Gilder | 1G | Creature - Elf Druid 2/1 | Common
10 Boggart Loggers | 2B | Creature - Goblin Rogue 2/1 | Common
11 Battlewand Oak | 2G | Creature - Treefolk Warrior 1/3 | Common
12 Consuming Bonfire | 3RR | Tribal Sorcery - Elemental | Common
13 Spring Cleaning | 1G | Instant | Common
14 Goldmeadow Harrier | W | Creature - Kithkin Soldier 1/1 | Common
15 Woodland Changeling | 1G | Creature - Shapeshifter 2/2 | Common
PACK: 3
 1 Distant Memories | 2UU | Sorcery | Rare
 2 Kuldotha Flamefiend | 4RR | Creature - Elemental 4/4 | Uncommon
 3 Silverskin Armor | 2 | Artifact - Equipment | Uncommon
 4 Flesh-Eater Imp | 3B | Creature - Imp 2/2 | Uncommon
 5 Tangle Mantis | 2GG | Creature - Insect 3/4 | Common
 6 Phyresis | 1B | Enchantment - Aura | Common
 7 Leonin Skyhunter | WW | Creature - Cat Knight 2/2 | Common
 8 Hexplate Golem | 7 | Artifact Creature - Golem 5/7 | Common
 9 Gust-Skimmer | 2 | Artifact Creature - Insect 2/1 | Common
10 Myr Sire | 2 | Artifact Creature - Myr 1/1 | Common
